state,district,crop,year,season,area_hectares,Area Units,production_tonnes,Production Units,yield_kg_per_hectare,subdivision,year_num
Maharashtra,AHMEDNAGAR,Gram,2000-01,Rabi,61000.0,Hectare,30300.0,Tonnes,496.72131147540983,Madhya Maharashtra,2000
Maharashtra,AKOLA,Gram,1997-98,Kharif,37500.0,Hectare,14800.0,Tonnes,394.66666666666663,Vidarbha,1997
Maharashtra,AKOLA,Gram,1998-99,Rabi,56500.0,Hectare,38600.0,Tonnes,683.1858407079646,Vidarbha,1998
Maharashtra,AKOLA,Gram,1999-00,Rabi,38100.0,Hectare,28900.0,Tonnes,758.5301837270341,Vidarbha,1999
Maharashtra,AMRAVATI,Gram,1997-98,Kharif,48300.0,Hectare,19400.0,Tonnes,401.6563146997929,Vidarbha,1997
Maharashtra,AMRAVATI,Gram,1998-99,Rabi,52400.0,Hectare,41300.0,Tonnes,788.1679389312976,Vidarbha,1998
Maharashtra,AMRAVATI,Gram,1999-00,Rabi,57000.0,Hectare,43300.0,Tonnes,759.6491228070175,Vidarbha,1999
Maharashtra,AMRAVATI,Gram,2000-01,Rabi,36600.0,Hectare,19600.0,Tonnes,535.5191256830601,Vidarbha,2000
Maharashtra,AURANGABAD,Gram,1997-98,Kharif,41100.0,Hectare,14600.0,Tonnes,355.2311435523114,Matathwada,1997
Maharashtra,AURANGABAD,Gram,1998-99,Rabi,48300.0,Hectare,28200.0,Tonnes,583.8509316770186,Matathwada,1998
Maharashtra,AURANGABAD,Gram,1999-00,Rabi,48700.0,Hectare,26400.0,Tonnes,542.0944558521561,Matathwada,1999
Maharashtra,AURANGABAD,Gram,2000-01,Rabi,23200.0,Hectare,10700.0,Tonnes,461.20689655172407,Matathwada,2000
Maharashtra,BEED,Gram,1998-99,Rabi,23600.0,Hectare,11800.0,Tonnes,500.0,Matathwada,1998
Maharashtra,BEED,Gram,1999-00,Rabi,25200.0,Hectare,12700.0,Tonnes,503.968253968254,Matathwada,1999
Maharashtra,BEED,Gram,2000-01,Rabi,26900.0,Hectare,13600.0,Tonnes,505.5762081784386,Matathwada,2000
Maharashtra,BHANDARA,Gram,1998-99,Rabi,9400.0,Hectare,4400.0,Tonnes,468.08510638297867,Vidarbha,1998
Maharashtra,BHANDARA,Gram,1999-00,Rabi,6000.0,Hectare,2600.0,Tonnes,433.3333333333333,Vidarbha,1999
Maharashtra,BHANDARA,Gram,2000-01,Rabi,3700.0,Hectare,1500.0,Tonnes,405.40540540540536,Vidarbha,2000
Maharashtra,BULDHANA,Gram,1997-98,Kharif,26300.0,Hectare,13000.0,Tonnes,494.296577946768,Vidarbha,1997
Maharashtra,BULDHANA,Gram,1998-99,Rabi,45500.0,Hectare,36700.0,Tonnes,806.5934065934066,Vidarbha,1998
Maharashtra,BULDHANA,Gram,1999-00,Rabi,47200.0,Hectare,33500.0,Tonnes,709.7457627118644,Vidarbha,1999
Maharashtra,BULDHANA,Gram,2000-01,Rabi,18300.0,Hectare,9500.0,Tonnes,519.1256830601093,Vidarbha,2000
Maharashtra,CHANDRAPUR,Gram,1998-99,Rabi,15600.0,Hectare,6500.0,Tonnes,416.6666666666667,Vidarbha,1998
Maharashtra,CHANDRAPUR,Gram,1999-00,Rabi,17000.0,Hectare,7300.0,Tonnes,429.4117647058823,Vidarbha,1999
Maharashtra,DHULE,Gram,1997-98,Kharif,27300.0,Hectare,18800.0,Tonnes,688.6446886446886,Madhya Maharashtra,1997
Maharashtra,DHULE,Gram,1998-99,Rabi,31100.0,Hectare,23400.0,Tonnes,752.411575562701,Madhya Maharashtra,1998
Maharashtra,DHULE,Gram,1999-00,Rabi,17900.0,Hectare,10300.0,Tonnes,575.4189944134079,Madhya Maharashtra,1999
Maharashtra,DHULE,Gram,2000-01,Rabi,6800.0,Hectare,3600.0,Tonnes,529.4117647058823,Madhya Maharashtra,2000
