Name,subdivision,year,JAN,FEB,MAR,APR,MAY,rain_june,rain_july,rain_august,rain_september,OCT,NOV,DEC,annual_rainfall,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,monsoon_rainfall,normal_annual_rainfall,rainfall_deviation_pct
ROW2932,Vidarbha,1930,0.0,5.3,1.2,27.4,4.4,181.3,252.9,194.4,233.2,44.8,36.3,1.9,983.0999999999996,5.3,33.0,861.8,83.0,20.85850732,79.27644168,861.8,1093.5470085470085,-10.1
ROW2933,Vidarbha,1931,4.0,4.6,11.6,5.6,3.1,103.3,380.6,390.7,232.9,225.1,40.2,2.4,1404.1,8.6,20.3,1107.5,267.7,20.85850732,79.27644168,1107.5,1093.5470085470085,28.4
ROW2934,Vidarbha,1932,0.0,27.4,12.9,3.4,10.3,154.2,526.6,176.7,183.8,25.6,9.7,0.0,1130.6,27.4,26.6,1041.3,35.3,20.85850732,79.27644168,1041.3,1093.5470085470085,3.39
ROW2935,Vidarbha,1933,4.8,38.3,9.1,20.5,64.6,244.6,353.7,365.4,301.7,75.1,8.4,16.0,1502.2,43.1,94.2,1265.4,99.5,20.85850732,79.27644168,1265.3999999999999,1093.5470085470085,37.37
ROW2936,Vidarbha,1934,2.2,0.0,0.3,8.5,0.3,169.1,335.1,390.9,254.4,10.8,46.6,0.1,1218.2999999999995,2.2,9.1,1149.5,57.50000000000001,20.85850732,79.27644168,1149.5,1093.5470085470085,11.41
ROW2937,Vidarbha,1935,14.5,4.6,0.7,26.0,1.0,151.8,528.1,164.8,250.4,13.4,0.4,2.3,1158.0000000000002,19.1,27.7,1095.1,16.1,20.85850732,79.27644168,1095.1000000000001,1093.5470085470085,5.89
ROW2938,Vidarbha,1936,17.6,60.3,21.6,4.8,30.5,377.5,285.3,308.3,188.8,61.9,90.9,3.5,1451.0,77.9,56.90000000000001,1159.9,156.3,20.85850732,79.27644168,1159.8999999999999,1093.5470085470085,32.69
ROW2939,Vidarbha,1937,0.0,33.1,42.4,112.7,1.5,135.6,476.2,177.2,226.0,105.7,0.4,8.4,1319.2000000000005,33.1,156.6,1015.0,114.5,20.85850732,79.27644168,1015.0,1093.5470085470085,20.63
ROW2940,Vidarbha,1938,4.0,12.4,9.7,6.5,26.2,354.0,425.6,314.1,181.6,126.8,0.0,0.0,1460.9,16.4,42.4,1275.3,126.8,20.85850732,79.27644168,1275.3,1093.5470085470085,33.59
ROW2941,Vidarbha,1939,1.3,1.9,34.2,12.2,0.1,116.1,224.2,385.4,66.5,33.5,6.0,0.4,881.8,3.2,46.50000000000001,792.1999999999997,39.9,20.85850732,79.27644168,792.1999999999999,1093.5470085470085,-19.36
